tx_week,flow_type,tx_count,total_eth,total_usd
2024-01-01 00:00:00.000 UTC,wallet_to_wallet,7576,8072219.797804648,18441329820.58108
2024-01-08 00:00:00.000 UTC,wallet_to_wallet,11966,11716049.765966382,28986132025.141056
2024-01-15 00:00:00.000 UTC,wallet_to_wallet,7195,7612232.954485442,19125623884.764538
2024-01-22 00:00:00.000 UTC,wallet_to_wallet,8209,11858706.897257552,26743976212.6462
2024-01-29 00:00:00.000 UTC,wallet_to_wallet,7245,8528307.739902193,19671922637.94947
2024-02-05 00:00:00.000 UTC,wallet_to_wallet,7651,9987032.947545784,23992810802.49069
2024-02-12 00:00:00.000 UTC,wallet_to_wallet,9938,8983200.930128854,24502289337.597923
2024-02-19 00:00:00.000 UTC,wallet_to_wallet,11730,9298172.308112849,27494748986.26451
2024-02-26 00:00:00.000 UTC,wallet_to_wallet,14613,11674227.63286005,38715894909.42032
2024-03-04 00:00:00.000 UTC,wallet_to_wallet,16900,13136618.432879437,49604996427.22518
2024-03-11 00:00:00.000 UTC,wallet_to_wallet,16791,12859168.008987768,49816811927.794334
2024-03-18 00:00:00.000 UTC,wallet_to_wallet,17591,12012737.319430225,40803790901.759735
2024-03-25 00:00:00.000 UTC,wallet_to_wallet,15870,10705332.936497305,38122192026.22796
2024-04-01 00:00:00.000 UTC,wallet_to_wallet,13146,11577320.154576482,38896029439.60297
2024-04-08 00:00:00.000 UTC,wallet_to_wallet,15381,11959576.423186442,40934342995.99974
2024-04-15 00:00:00.000 UTC,wallet_to_wallet,10958,8679940.69486991,26777994952.536167
2024-04-22 00:00:00.000 UTC,wallet_to_wallet,10303,7189734.085247734,22972498911.570633
2024-04-29 00:00:00.000 UTC,wallet_to_wallet,9193,7012089.301713893,21326433223.557495
2024-05-06 00:00:00.000 UTC,wallet_to_wallet,7234,5668602.58550916,17127382882.16574
2024-05-13 00:00:00.000 UTC,wallet_to_wallet,7956,6120088.530692607,18296569551.024063
2024-05-20 00:00:00.000 UTC,wallet_to_wallet,16984,13353658.800301049,49264034867.36265
2024-05-27 00:00:00.000 UTC,wallet_to_wallet,10427,8905932.459288882,33970859933.136696
2024-06-03 00:00:00.000 UTC,wallet_to_wallet,8534,6407533.497616697,24289847746.820633
2024-06-10 00:00:00.000 UTC,wallet_to_wallet,9592,7169545.186583883,25480507878.190025
2024-06-17 00:00:00.000 UTC,wallet_to_wallet,10331,7542897.304000473,26500651877.27541
2024-06-24 00:00:00.000 UTC,wallet_to_wallet,12076,9467899.780255783,32104963678.650517
2024-07-01 00:00:00.000 UTC,wallet_to_wallet,11360,9496923.113905104,30366525550.62722
2024-07-08 00:00:00.000 UTC,wallet_to_wallet,9724,8166851.219514499,25248561301.42187
2024-07-15 00:00:00.000 UTC,wallet_to_wallet,11690,9003889.780425133,30971772509.13698
2024-07-22 00:00:00.000 UTC,wallet_to_wallet,11661,14511287.448861482,48500723786.58424
2024-07-29 00:00:00.000 UTC,wallet_to_wallet,11554,12741980.601287195,40525226761.11371
2024-08-05 00:00:00.000 UTC,wallet_to_wallet,15599,16616972.868576271,40862072802.383804
2024-08-12 00:00:00.000 UTC,wallet_to_wallet,7716,6981161.033201624,18479126974.717667
2024-08-19 00:00:00.000 UTC,wallet_to_wallet,8487,7899743.615374849,20962024270.606316
2024-08-26 00:00:00.000 UTC,wallet_to_wallet,8042,8326506.952683969,21317620537.599392
2024-09-02 00:00:00.000 UTC,wallet_to_wallet,8673,8235345.02731826,19654888376.67441
2024-09-09 00:00:00.000 UTC,wallet_to_wallet,7072,8102212.872926578,19083297651.142597
2024-09-16 00:00:00.000 UTC,wallet_to_wallet,8413,8500557.69752307,20548404815.5415
2024-09-23 00:00:00.000 UTC,wallet_to_wallet,8368,8605082.582585571,22744433721.33403
2024-09-30 00:00:00.000 UTC,wallet_to_wallet,8500,9588121.196468558,23732548031.68541
2024-10-07 00:00:00.000 UTC,wallet_to_wallet,7906,8276308.9037142,20148367526.418125
2024-10-14 00:00:00.000 UTC,wallet_to_wallet,10402,9727410.017717168,25455622021.13756
2024-10-21 00:00:00.000 UTC,wallet_to_wallet,10543,10979771.540686922,28154280708.799343
2024-10-28 00:00:00.000 UTC,wallet_to_wallet,10399,11248274.61923954,28959107427.577744
2024-11-04 00:00:00.000 UTC,wallet_to_wallet,14787,15105509.983130472,42196005327.156685
2024-11-11 00:00:00.000 UTC,wallet_to_wallet,16868,16096361.279857997,51443768544.83264
2024-11-18 00:00:00.000 UTC,wallet_to_wallet,17881,15766001.180752642,50910410933.08061
2024-11-25 00:00:00.000 UTC,wallet_to_wallet,17372,15540635.562960502,54765158398.54685
2024-12-02 00:00:00.000 UTC,wallet_to_wallet,20168,19057908.76146263,72413719694.9771
2024-12-09 00:00:00.000 UTC,wallet_to_wallet,16146,14258618.90585438,54491853636.74162
2024-12-16 00:00:00.000 UTC,wallet_to_wallet,17679,15632187.48741446,56709289821.89664
2024-12-23 00:00:00.000 UTC,wallet_to_wallet,10854,11547353.219831062,39129874978.12766
2024-12-30 00:00:00.000 UTC,wallet_to_wallet,4503,4999282.06044455,16879260740.564535
