tx_week,flow_type,tx_count,total_eth,total_usd
2020-12-28 00:00:00.000 UTC,wallet_to_wallet,3656,13778632.206389803,11050998594.72023
2021-01-04 00:00:00.000 UTC,wallet_to_wallet,16996,35646771.61133847,41308607557.5774
2021-01-11 00:00:00.000 UTC,wallet_to_wallet,13305,42230391.36490296,48056692859.45176
2021-01-18 00:00:00.000 UTC,wallet_to_wallet,15939,42619273.03286646,54346404629.518265
2021-01-25 00:00:00.000 UTC,wallet_to_wallet,16755,40300907.53955856,53997138739.39981
2021-02-01 00:00:00.000 UTC,wallet_to_wallet,17612,45476997.03674944,72323568815.92213
2021-02-08 00:00:00.000 UTC,wallet_to_wallet,15008,32235118.892331567,56637453408.75791
2021-02-15 00:00:00.000 UTC,wallet_to_wallet,15184,34182130.863730416,63733114501.57502
2021-02-22 00:00:00.000 UTC,wallet_to_wallet,19196,48167131.34817845,75790489600.76218
2021-03-01 00:00:00.000 UTC,wallet_to_wallet,13682,31566027.608688273,49190247523.62384
2021-03-08 00:00:00.000 UTC,wallet_to_wallet,14118,25150062.781086218,45287381653.79575
2021-03-15 00:00:00.000 UTC,wallet_to_wallet,10948,21548398.822465636,38786829026.04954
2021-03-22 00:00:00.000 UTC,wallet_to_wallet,11066,21559335.58000981,35959921206.727974
2021-03-29 00:00:00.000 UTC,wallet_to_wallet,16624,32654225.13267009,63883451577.16157
2021-04-05 00:00:00.000 UTC,wallet_to_wallet,15726,58348483.91324424,119394143975.17049
2021-04-12 00:00:00.000 UTC,wallet_to_wallet,19870,29404742.53169371,67951481068.3379
2021-04-19 00:00:00.000 UTC,wallet_to_wallet,20738,30478590.0335541,70570648875.33272
2021-04-26 00:00:00.000 UTC,wallet_to_wallet,22385,42835146.98185699,115890364380.90031
2021-05-03 00:00:00.000 UTC,wallet_to_wallet,32132,77789014.09395401,276588049620.7456
2021-05-10 00:00:00.000 UTC,wallet_to_wallet,37822,38019919.45228541,149923077442.6421
2021-05-17 00:00:00.000 UTC,wallet_to_wallet,46034,65335771.32531736,172890765766.7068
2021-05-24 00:00:00.000 UTC,wallet_to_wallet,28134,72435685.25813958,183410577587.54965
2021-05-31 00:00:00.000 UTC,wallet_to_wallet,19888,45624352.14040652,121088439213.09628
2021-06-07 00:00:00.000 UTC,wallet_to_wallet,17544,48618942.553533114,121695290052.04636
2021-06-14 00:00:00.000 UTC,wallet_to_wallet,16380,61018060.559791915,144329673286.2846
2021-06-21 00:00:00.000 UTC,wallet_to_wallet,17937,52504815.89153885,100352876466.45564
2021-06-28 00:00:00.000 UTC,wallet_to_wallet,14514,25522981.12631831,54611163158.32656
2021-07-05 00:00:00.000 UTC,wallet_to_wallet,14427,26003222.70063079,57444596066.686104
2021-07-12 00:00:00.000 UTC,wallet_to_wallet,11977,32301132.010913044,63317118189.908424
2021-07-19 00:00:00.000 UTC,wallet_to_wallet,11766,25616376.488042872,49606850023.962105
2021-07-26 00:00:00.000 UTC,wallet_to_wallet,13594,18673084.97775065,44305013787.051865
2021-08-02 00:00:00.000 UTC,wallet_to_wallet,16771,19612768.925835088,54071750718.33672
2021-08-09 00:00:00.000 UTC,wallet_to_wallet,15367,19622835.14342804,62024179515.95217
2021-08-16 00:00:00.000 UTC,wallet_to_wallet,15746,22019667.13648263,69634801727.19267
2021-08-23 00:00:00.000 UTC,wallet_to_wallet,13863,25727235.884939168,83016716342.19778
2021-08-30 00:00:00.000 UTC,wallet_to_wallet,19517,22770070.598506447,81977213306.15894
2021-09-06 00:00:00.000 UTC,wallet_to_wallet,17693,21700552.21566581,75411199826.00974
2021-09-13 00:00:00.000 UTC,wallet_to_wallet,12291,13965910.392215887,47832466646.05813
2021-09-20 00:00:00.000 UTC,wallet_to_wallet,16634,26344310.094401363,78224632465.7372
2021-09-27 00:00:00.000 UTC,wallet_to_wallet,12303,17688858.61905343,54466102053.11466
2021-10-04 00:00:00.000 UTC,wallet_to_wallet,14518,16595289.381367352,58463092325.61299
2021-10-11 00:00:00.000 UTC,wallet_to_wallet,20933,16112008.026997177,59626590069.5462
2021-10-18 00:00:00.000 UTC,wallet_to_wallet,18625,14757017.13388576,59181521523.41941
2021-10-25 00:00:00.000 UTC,wallet_to_wallet,19583,20536526.94504068,86830803405.9537
2021-11-01 00:00:00.000 UTC,wallet_to_wallet,17115,12938121.426770478,58117605004.80016
2021-11-08 00:00:00.000 UTC,wallet_to_wallet,16845,11963432.560859058,56224000814.87229
2021-11-15 00:00:00.000 UTC,wallet_to_wallet,18036,15502322.55228496,67357474123.64687
2021-11-22 00:00:00.000 UTC,wallet_to_wallet,17484,12741253.567859463,53742791350.20408
2021-11-29 00:00:00.000 UTC,wallet_to_wallet,25561,18651990.160410676,81775922947.08305
2021-12-06 00:00:00.000 UTC,wallet_to_wallet,18354,14953957.284200432,62726830827.29391
2021-12-13 00:00:00.000 UTC,wallet_to_wallet,17148,14566310.087585106,56742300978.45695
2021-12-20 00:00:00.000 UTC,wallet_to_wallet,11795,9331820.319785422,37448108339.29418
2021-12-27 00:00:00.000 UTC,wallet_to_wallet,11209,11719312.572782308,44877514957.33701
