tx_week,flow_type,tx_count,total_eth,total_usd
2016-12-26 00:00:00.000 UTC,wallet_to_wallet,3,400000.0,3361999.999999999
2017-01-02 00:00:00.000 UTC,wallet_to_wallet,20,1983508.667621511,20769986.30087504
2017-01-09 00:00:00.000 UTC,wallet_to_wallet,13,1763899.9976,17917567.807957336
2017-01-16 00:00:00.000 UTC,wallet_to_wallet,13,1949999.985711716,20544624.848486826
2017-01-23 00:00:00.000 UTC,wallet_to_wallet,7,458628.85503786,4832990.460469215
2017-01-30 00:00:00.000 UTC,wallet_to_wallet,7,748997.9937607601,8215909.959793489
2017-02-06 00:00:00.000 UTC,wallet_to_wallet,18,1214576.76896622,13525854.000255903
2017-02-13 00:00:00.000 UTC,wallet_to_wallet,25,1574605.4092784117,19776462.466421917
2017-02-20 00:00:00.000 UTC,wallet_to_wallet,8,513305.97,6639409.386091664
2017-02-27 00:00:00.000 UTC,wallet_to_wallet,76,8166619.679379528,134485961.67847657
2017-03-06 00:00:00.000 UTC,wallet_to_wallet,81,4699066.447016728,90525261.60889363
2017-03-13 00:00:00.000 UTC,wallet_to_wallet,363,14565141.15516524,552584426.4776103
2017-03-20 00:00:00.000 UTC,wallet_to_wallet,164,4889648.5227107275,225149530.33787015
2017-03-27 00:00:00.000 UTC,wallet_to_wallet,212,7604319.381947142,385906996.849839
2017-04-03 00:00:00.000 UTC,wallet_to_wallet,200,6168040.508771945,274660065.9816837
2017-04-10 00:00:00.000 UTC,wallet_to_wallet,139,4174243.3869921057,191676911.2219197
2017-04-17 00:00:00.000 UTC,wallet_to_wallet,134,4412221.43341655,217783576.1052693
2017-04-24 00:00:00.000 UTC,wallet_to_wallet,401,6919284.901319129,447069764.2647154
2017-05-01 00:00:00.000 UTC,wallet_to_wallet,3314,37514006.420256376,3060535497.9678936
2017-05-08 00:00:00.000 UTC,wallet_to_wallet,370,6094197.306668775,551043607.2178016
2017-05-15 00:00:00.000 UTC,wallet_to_wallet,722,9718777.990842214,1118977842.0390112
2017-05-22 00:00:00.000 UTC,wallet_to_wallet,4124,24177162.136022896,4381938545.348323
2017-05-29 00:00:00.000 UTC,wallet_to_wallet,3303,22887695.643647466,5169885864.25833
2017-06-05 00:00:00.000 UTC,wallet_to_wallet,4025,13514543.218440278,3710185673.163278
2017-06-12 00:00:00.000 UTC,wallet_to_wallet,22065,43470912.14693957,16186348815.462812
2017-06-19 00:00:00.000 UTC,wallet_to_wallet,1659,10744475.683757303,3726288115.986656
2017-06-26 00:00:00.000 UTC,wallet_to_wallet,1261,9823530.135431774,2801066135.55775
2017-07-03 00:00:00.000 UTC,wallet_to_wallet,11930,31893821.323086437,8994244730.322891
2017-07-10 00:00:00.000 UTC,wallet_to_wallet,8253,28299500.95714826,5720687529.019571
2017-07-17 00:00:00.000 UTC,wallet_to_wallet,13827,41213752.2124604,9031362199.148865
2017-07-24 00:00:00.000 UTC,wallet_to_wallet,16304,48743307.58363389,10074147014.119566
2017-07-31 00:00:00.000 UTC,wallet_to_wallet,636,4887147.800145356,1114310834.815244
2017-08-07 00:00:00.000 UTC,wallet_to_wallet,30326,84961302.1640541,25713346606.251858
2017-08-14 00:00:00.000 UTC,wallet_to_wallet,4534,12853930.16911972,3841522710.730956
2017-08-21 00:00:00.000 UTC,wallet_to_wallet,3516,20681977.147483185,6925522380.843144
2017-08-28 00:00:00.000 UTC,wallet_to_wallet,23974,58097291.83897072,21084857821.56927
2017-09-04 00:00:00.000 UTC,wallet_to_wallet,6852,19801938.58674391,5899068982.11652
2017-09-11 00:00:00.000 UTC,wallet_to_wallet,3384,13727392.778758738,3652830207.188348
2017-09-18 00:00:00.000 UTC,wallet_to_wallet,4548,11327552.622140748,3214545385.9806685
2017-09-25 00:00:00.000 UTC,wallet_to_wallet,687,4363823.577012683,1283200302.3812196
2017-10-02 00:00:00.000 UTC,wallet_to_wallet,4243,18651770.2398565,5546699376.00651
2017-10-09 00:00:00.000 UTC,wallet_to_wallet,997,4701559.7698758,1492205609.4175627
2017-10-16 00:00:00.000 UTC,wallet_to_wallet,867,4344717.598731726,1365497702.320656
2017-10-23 00:00:00.000 UTC,wallet_to_wallet,678,3868380.5896046753,1143968095.7270849
2017-10-30 00:00:00.000 UTC,wallet_to_wallet,974,3483817.571626019,1042375866.568802
2017-11-06 00:00:00.000 UTC,wallet_to_wallet,3253,12509760.025215182,3862066113.121665
2017-11-13 00:00:00.000 UTC,wallet_to_wallet,1296,5825462.379113548,1937065944.4192636
2017-11-20 00:00:00.000 UTC,wallet_to_wallet,1890,8667664.96395276,3439790707.907278
2017-11-27 00:00:00.000 UTC,wallet_to_wallet,2009,6528922.099497574,3050621739.971023
2017-12-04 00:00:00.000 UTC,wallet_to_wallet,1776,8831412.791594444,3960200301.824216
2017-12-11 00:00:00.000 UTC,wallet_to_wallet,4089,10967821.240936471,7124847338.272258
2017-12-18 00:00:00.000 UTC,wallet_to_wallet,4635,9819870.160150783,7516996091.856381
2017-12-25 00:00:00.000 UTC,wallet_to_wallet,5062,11312002.989740552,8436655116.525399
