tx_week,flow_type,tx_count,total_eth,total_usd
2021-12-27 00:00:00.000 UTC,wallet_to_wallet,2546,1608435.8827017867,6031296515.6119175
2022-01-03 00:00:00.000 UTC,wallet_to_wallet,14902,12521125.95127349,43245472405.890205
2022-01-10 00:00:00.000 UTC,wallet_to_wallet,12231,10087660.580933828,32721488742.06288
2022-01-17 00:00:00.000 UTC,wallet_to_wallet,18480,18839684.295560267,52806105433.54043
2022-01-24 00:00:00.000 UTC,wallet_to_wallet,15178,16841415.50783097,41259498137.34248
2022-01-31 00:00:00.000 UTC,wallet_to_wallet,11937,11969890.130885713,33021261134.553772
2022-02-07 00:00:00.000 UTC,wallet_to_wallet,13092,13318155.405343791,41328146927.86612
2022-02-14 00:00:00.000 UTC,wallet_to_wallet,9415,9723757.016806886,28582666366.2592
2022-02-21 00:00:00.000 UTC,wallet_to_wallet,12136,13446070.227581048,35059514208.822
2022-02-28 00:00:00.000 UTC,wallet_to_wallet,10030,10473576.33909477,29592213832.552177
2022-03-07 00:00:00.000 UTC,wallet_to_wallet,8328,8149261.304003814,21143606847.7318
2022-03-14 00:00:00.000 UTC,wallet_to_wallet,10670,10564623.41259924,28980661304.509453
2022-03-21 00:00:00.000 UTC,wallet_to_wallet,11492,10764173.263683992,32641568036.2162
2022-03-28 00:00:00.000 UTC,wallet_to_wallet,11115,12353822.99845451,41764548019.81172
2022-04-04 00:00:00.000 UTC,wallet_to_wallet,9265,8264676.017536017,27375467396.514675
2022-04-11 00:00:00.000 UTC,wallet_to_wallet,10669,10628053.06034914,32388100111.15808
2022-04-18 00:00:00.000 UTC,wallet_to_wallet,9563,9892867.07874772,30012860123.813984
2022-04-25 00:00:00.000 UTC,wallet_to_wallet,11514,13629882.099569118,39097417596.366615
2022-05-02 00:00:00.000 UTC,wallet_to_wallet,12338,13575236.991076555,37596155643.29628
2022-05-09 00:00:00.000 UTC,wallet_to_wallet,22987,33111269.011902492,70492322227.38448
2022-05-16 00:00:00.000 UTC,wallet_to_wallet,8317,15677031.986116694,31529307729.68665
2022-05-23 00:00:00.000 UTC,wallet_to_wallet,9345,13568736.337739348,25416285223.340816
2022-05-30 00:00:00.000 UTC,wallet_to_wallet,7844,11655277.607545394,21802080532.300797
2022-06-06 00:00:00.000 UTC,wallet_to_wallet,10515,19702449.712678913,32891388739.360542
2022-06-13 00:00:00.000 UTC,wallet_to_wallet,17414,39274622.58002092,45114775647.91367
2022-06-20 00:00:00.000 UTC,wallet_to_wallet,7203,13374647.852533266,15256869949.34488
2022-06-27 00:00:00.000 UTC,wallet_to_wallet,6255,14562914.004598238,16194938635.091528
2022-07-04 00:00:00.000 UTC,wallet_to_wallet,5858,13453859.474253245,15708373422.89954
2022-07-11 00:00:00.000 UTC,wallet_to_wallet,7326,14758563.823786337,17183662423.18629
2022-07-18 00:00:00.000 UTC,wallet_to_wallet,7868,17322940.822353087,26445357289.91851
2022-07-25 00:00:00.000 UTC,wallet_to_wallet,7410,11500565.908500789,18426085343.413097
2022-08-01 00:00:00.000 UTC,wallet_to_wallet,6447,8633186.36499644,14322526547.618752
2022-08-08 00:00:00.000 UTC,wallet_to_wallet,8544,11481668.332462609,21168599578.345825
2022-08-15 00:00:00.000 UTC,wallet_to_wallet,7359,11013365.102264715,19903145614.348732
2022-08-22 00:00:00.000 UTC,wallet_to_wallet,6690,11313893.709222663,18116821890.502716
2022-08-29 00:00:00.000 UTC,wallet_to_wallet,6727,15072375.785676535,23506892970.461414
2022-09-05 00:00:00.000 UTC,wallet_to_wallet,8567,14686873.595336674,23961746186.5918
2022-09-12 00:00:00.000 UTC,wallet_to_wallet,12565,32322534.469010487,50865298645.97859
2022-09-19 00:00:00.000 UTC,wallet_to_wallet,7500,16073006.044247244,21217865154.71242
2022-09-26 00:00:00.000 UTC,wallet_to_wallet,6153,11967730.561469631,15922106257.719046
2022-10-03 00:00:00.000 UTC,wallet_to_wallet,4217,7385793.832465943,9878552561.16894
2022-10-10 00:00:00.000 UTC,wallet_to_wallet,4706,7863482.911721331,10117613272.166096
2022-10-17 00:00:00.000 UTC,wallet_to_wallet,4213,7223417.348883272,9437818277.35223
2022-10-24 00:00:00.000 UTC,wallet_to_wallet,9187,13854776.25033643,20854275596.946915
2022-10-31 00:00:00.000 UTC,wallet_to_wallet,6647,11221693.876771096,17790484894.88549
2022-11-07 00:00:00.000 UTC,wallet_to_wallet,14335,33217945.65827727,43119605226.130226
2022-11-14 00:00:00.000 UTC,wallet_to_wallet,6395,16091797.905528422,19738369491.375435
2022-11-21 00:00:00.000 UTC,wallet_to_wallet,5403,14005335.335185064,16140667141.639084
2022-11-28 00:00:00.000 UTC,wallet_to_wallet,4396,9093384.878501616,11299037430.237438
2022-12-05 00:00:00.000 UTC,wallet_to_wallet,3849,9094398.981864551,11499104998.631931
2022-12-12 00:00:00.000 UTC,wallet_to_wallet,5596,10574976.914483398,13322033513.646366
2022-12-19 00:00:00.000 UTC,wallet_to_wallet,3265,6500208.459247797,7868977417.078491
2022-12-26 00:00:00.000 UTC,wallet_to_wallet,2764,4728147.994207672,5684804901.954303
