tx_week,flow_type,tx_count,total_eth,total_usd
2019-12-30 00:00:00.000 UTC,wallet_to_wallet,177,1467219.6683466476,193288757.9547853
2020-01-06 00:00:00.000 UTC,wallet_to_wallet,385,3291940.2357097734,467654512.9979601
2020-01-13 00:00:00.000 UTC,wallet_to_wallet,613,4688378.95657898,763636233.8404489
2020-01-20 00:00:00.000 UTC,wallet_to_wallet,258,2285285.1363161337,372216374.7842843
2020-01-27 00:00:00.000 UTC,wallet_to_wallet,513,3729070.4595900946,666314546.049842
2020-02-03 00:00:00.000 UTC,wallet_to_wallet,718,5157880.986361508,1076429685.455578
2020-02-10 00:00:00.000 UTC,wallet_to_wallet,1310,5834535.308956401,1501896872.2261984
2020-02-17 00:00:00.000 UTC,wallet_to_wallet,1438,7390605.311235873,1958437879.525947
2020-02-24 00:00:00.000 UTC,wallet_to_wallet,1070,6191179.2354082195,1468732453.430156
2020-03-02 00:00:00.000 UTC,wallet_to_wallet,950,5661113.924740318,1302293081.6054392
2020-03-09 00:00:00.000 UTC,wallet_to_wallet,1733,17370315.2024536,2698961769.2254944
2020-03-16 00:00:00.000 UTC,wallet_to_wallet,837,9347470.523449264,1129830627.7783065
2020-03-23 00:00:00.000 UTC,wallet_to_wallet,584,6718669.863779241,907297243.6601253
2020-03-30 00:00:00.000 UTC,wallet_to_wallet,374,3615499.228625162,499152083.9834069
2020-04-06 00:00:00.000 UTC,wallet_to_wallet,684,4546283.307313474,743427932.6321224
2020-04-13 00:00:00.000 UTC,wallet_to_wallet,589,3722992.9568842608,625577618.47351
2020-04-20 00:00:00.000 UTC,wallet_to_wallet,757,7011537.3467018865,1295694408.4441848
2020-04-27 00:00:00.000 UTC,wallet_to_wallet,752,4733607.270094772,990127516.8418328
2020-05-04 00:00:00.000 UTC,wallet_to_wallet,938,6102600.20264537,1244723287.6905906
2020-05-11 00:00:00.000 UTC,wallet_to_wallet,835,5659263.61338909,1099574761.126229
2020-05-18 00:00:00.000 UTC,wallet_to_wallet,678,5324082.641219685,1109163851.58103
2020-05-25 00:00:00.000 UTC,wallet_to_wallet,800,6252248.7257666085,1372829618.2870033
2020-06-01 00:00:00.000 UTC,wallet_to_wallet,692,5469432.504420394,1326712602.909123
2020-06-08 00:00:00.000 UTC,wallet_to_wallet,591,4897908.443113087,1178463152.8277922
2020-06-15 00:00:00.000 UTC,wallet_to_wallet,808,9239780.26549928,2132900994.109293
2020-06-22 00:00:00.000 UTC,wallet_to_wallet,1129,13368219.947722254,3139682479.4577436
2020-06-29 00:00:00.000 UTC,wallet_to_wallet,736,13221232.775977625,3016260325.0411224
2020-07-06 00:00:00.000 UTC,wallet_to_wallet,836,8413669.978739915,2027336165.2925365
2020-07-13 00:00:00.000 UTC,wallet_to_wallet,866,6604959.503035086,1571735487.3349898
2020-07-20 00:00:00.000 UTC,wallet_to_wallet,1722,11442648.685620926,3102682848.589027
2020-07-27 00:00:00.000 UTC,wallet_to_wallet,2388,12813455.833490403,4285433055.460557
2020-08-03 00:00:00.000 UTC,wallet_to_wallet,2242,9033269.402837368,3526253465.7698383
2020-08-10 00:00:00.000 UTC,wallet_to_wallet,3092,14315544.630959855,5812312407.738841
2020-08-17 00:00:00.000 UTC,wallet_to_wallet,2206,9218114.24812272,3808966693.363647
2020-08-24 00:00:00.000 UTC,wallet_to_wallet,2631,10852285.747377122,4305885080.766025
2020-08-31 00:00:00.000 UTC,wallet_to_wallet,7855,31243676.80620005,12712269432.3604
2020-09-07 00:00:00.000 UTC,wallet_to_wallet,5861,26379615.707328364,9553117271.596428
2020-09-14 00:00:00.000 UTC,wallet_to_wallet,6730,37153644.262212,13998050117.449348
2020-09-21 00:00:00.000 UTC,wallet_to_wallet,3426,17595438.187309425,6076122540.695164
2020-09-28 00:00:00.000 UTC,wallet_to_wallet,3043,16042838.967705376,5687848581.4885645
2020-10-05 00:00:00.000 UTC,wallet_to_wallet,2674,15151884.724468362,5376439988.887207
2020-10-12 00:00:00.000 UTC,wallet_to_wallet,2868,17435261.221275803,6557761253.100036
2020-10-19 00:00:00.000 UTC,wallet_to_wallet,2803,17798290.462689657,7125355585.5313835
2020-10-26 00:00:00.000 UTC,wallet_to_wallet,2720,20084756.10959001,7856346850.971327
2020-11-02 00:00:00.000 UTC,wallet_to_wallet,3554,26000770.164002325,10757593205.945627
2020-11-09 00:00:00.000 UTC,wallet_to_wallet,2728,19520163.107011493,8955665090.335718
2020-11-16 00:00:00.000 UTC,wallet_to_wallet,4719,28615419.45851297,14172604867.29677
2020-11-23 00:00:00.000 UTC,wallet_to_wallet,5300,25791718.844669793,14348929500.883804
2020-11-30 00:00:00.000 UTC,wallet_to_wallet,4545,26544706.04294364,15839991792.60595
2020-12-07 00:00:00.000 UTC,wallet_to_wallet,3995,25073367.253782395,14187089783.143686
2020-12-14 00:00:00.000 UTC,wallet_to_wallet,4483,23175775.30378369,14585464926.009958
2020-12-21 00:00:00.000 UTC,wallet_to_wallet,4799,22812205.38085454,14125537734.77647
2020-12-28 00:00:00.000 UTC,wallet_to_wallet,4150,18246097.70247231,13344985843.496578
