tx_week,flow_type,tx_count,total_eth,total_usd
2022-12-26 00:00:00.000 UTC,wallet_to_wallet,255,409416.932751961,490035505.5960559
2023-01-02 00:00:00.000 UTC,wallet_to_wallet,3273,5887846.48246796,7346591105.702467
2023-01-09 00:00:00.000 UTC,wallet_to_wallet,6852,10760918.198914524,15288952974.707632
2023-01-16 00:00:00.000 UTC,wallet_to_wallet,6275,9539043.45661446,15075232815.340725
2023-01-23 00:00:00.000 UTC,wallet_to_wallet,6096,9890301.091752792,15813422505.501163
2023-01-30 00:00:00.000 UTC,wallet_to_wallet,5501,9952347.981366962,16177604606.645683
2023-02-06 00:00:00.000 UTC,wallet_to_wallet,5852,9718203.830951683,15480676212.76506
2023-02-13 00:00:00.000 UTC,wallet_to_wallet,6043,8631719.151882978,13857617450.149706
2023-02-20 00:00:00.000 UTC,wallet_to_wallet,5073,8152309.497316532,13427151267.94712
2023-02-27 00:00:00.000 UTC,wallet_to_wallet,5000,6922776.1954559125,11197536650.469597
2023-03-06 00:00:00.000 UTC,wallet_to_wallet,10124,17688628.763924792,26160751776.401596
2023-03-13 00:00:00.000 UTC,wallet_to_wallet,11730,16802530.950861715,28655025690.886215
2023-03-20 00:00:00.000 UTC,wallet_to_wallet,7927,12711244.10785085,22603550271.494644
2023-03-27 00:00:00.000 UTC,wallet_to_wallet,6129,8203676.062687316,14640112143.56984
2023-04-03 00:00:00.000 UTC,wallet_to_wallet,6293,8363221.129675278,15569675526.599585
2023-04-10 00:00:00.000 UTC,wallet_to_wallet,8859,11035352.476303954,21927926064.439777
2023-04-17 00:00:00.000 UTC,wallet_to_wallet,7636,10356162.104692273,20557197107.61256
2023-04-24 00:00:00.000 UTC,wallet_to_wallet,6656,8342765.249444904,15693605156.54136
2023-05-01 00:00:00.000 UTC,wallet_to_wallet,6521,9370475.77103308,17711027090.487293
2023-05-08 00:00:00.000 UTC,wallet_to_wallet,6779,9219038.271936886,16825009104.403463
2023-05-15 00:00:00.000 UTC,wallet_to_wallet,5983,7996758.988507037,14520676654.6711
2023-05-22 00:00:00.000 UTC,wallet_to_wallet,4984,7895185.300740116,14437267717.215755
2023-05-29 00:00:00.000 UTC,wallet_to_wallet,5989,8057164.750342873,15214404020.409475
2023-06-05 00:00:00.000 UTC,wallet_to_wallet,6647,12050190.787503384,22056137422.23994
2023-06-12 00:00:00.000 UTC,wallet_to_wallet,6295,10412631.358468313,17864535420.88634
2023-06-19 00:00:00.000 UTC,wallet_to_wallet,7073,8326045.305486697,15330309473.5287
2023-06-26 00:00:00.000 UTC,wallet_to_wallet,6263,8867935.84094889,16692937352.768734
2023-07-03 00:00:00.000 UTC,wallet_to_wallet,5075,6307691.645325221,12047675134.66521
2023-07-10 00:00:00.000 UTC,wallet_to_wallet,5827,7052953.9066688055,13586331141.161957
2023-07-17 00:00:00.000 UTC,wallet_to_wallet,5046,6666144.619934458,12669584768.210268
2023-07-24 00:00:00.000 UTC,wallet_to_wallet,4508,6283841.019941586,11725181272.15152
2023-07-31 00:00:00.000 UTC,wallet_to_wallet,5542,6597988.907375862,12177778027.578806
2023-08-07 00:00:00.000 UTC,wallet_to_wallet,4250,5399111.820758584,9968648153.76168
2023-08-14 00:00:00.000 UTC,wallet_to_wallet,5737,7788647.180117945,13527976960.34385
2023-08-21 00:00:00.000 UTC,wallet_to_wallet,4778,6356312.075592591,10531050253.931038
2023-08-28 00:00:00.000 UTC,wallet_to_wallet,5151,6215040.830258637,10379482048.012276
2023-09-04 00:00:00.000 UTC,wallet_to_wallet,3891,5669875.718242933,9252450394.923077
2023-09-11 00:00:00.000 UTC,wallet_to_wallet,4861,9638790.372545063,15409517845.13597
2023-09-18 00:00:00.000 UTC,wallet_to_wallet,3777,4841206.047323062,7843860981.571204
2023-09-25 00:00:00.000 UTC,wallet_to_wallet,4524,5674323.713853215,9314244284.566998
2023-10-02 00:00:00.000 UTC,wallet_to_wallet,5370,7336864.466573453,12145717010.097004
2023-10-09 00:00:00.000 UTC,wallet_to_wallet,4441,6244639.145481308,9794194040.83516
2023-10-16 00:00:00.000 UTC,wallet_to_wallet,5147,7218398.203353445,11477707515.110909
2023-10-23 00:00:00.000 UTC,wallet_to_wallet,7590,8905814.524590334,15842374490.384306
2023-10-30 00:00:00.000 UTC,wallet_to_wallet,6841,9159599.265310822,16695749909.139278
2023-11-06 00:00:00.000 UTC,wallet_to_wallet,9196,12099486.922445249,23983012621.1097
2023-11-13 00:00:00.000 UTC,wallet_to_wallet,7633,9547223.457559789,19161775104.07839
2023-11-20 00:00:00.000 UTC,wallet_to_wallet,6730,8226288.887896729,16828059277.357138
2023-11-27 00:00:00.000 UTC,wallet_to_wallet,6369,8196661.618965867,16950869211.9845
2023-12-04 00:00:00.000 UTC,wallet_to_wallet,7614,8900063.174955674,20410560144.06452
2023-12-11 00:00:00.000 UTC,wallet_to_wallet,7305,9243141.830719836,20673764578.51454
2023-12-18 00:00:00.000 UTC,wallet_to_wallet,9384,11744477.937566,26316566719.88961
2023-12-25 00:00:00.000 UTC,wallet_to_wallet,8959,9808630.390994824,22707439950.98946
