tx_week,flow_type,tx_count,total_eth,total_usd
2024-12-30 00:00:00.000 UTC,wallet_to_wallet,7008,7050617.5352767585,24469672180.566875
2025-01-06 00:00:00.000 UTC,wallet_to_wallet,11265,11021669.829774952,37369526853.855255
2025-01-13 00:00:00.000 UTC,wallet_to_wallet,16522,13650015.017625736,44788663432.30537
2025-01-20 00:00:00.000 UTC,wallet_to_wallet,16271,14047888.305291874,46434419749.42317
2025-01-27 00:00:00.000 UTC,wallet_to_wallet,15133,13645166.275686763,43303723405.033966
2025-02-03 00:00:00.000 UTC,wallet_to_wallet,20528,24162661.6868709,65077054494.17314
2025-02-10 00:00:00.000 UTC,wallet_to_wallet,10882,12553172.392416522,33574595776.779133
2025-02-17 00:00:00.000 UTC,wallet_to_wallet,12651,15267499.440316522,41716851552.74035
2025-02-24 00:00:00.000 UTC,wallet_to_wallet,18758,20421527.83114198,48455535825.958725
2025-03-03 00:00:00.000 UTC,wallet_to_wallet,12537,15411766.13608605,33781287320.35502
2025-03-10 00:00:00.000 UTC,wallet_to_wallet,11682,15523958.68325279,29774401819.70368
2025-03-17 00:00:00.000 UTC,wallet_to_wallet,7378,11410189.94810814,22387681210.89752
2025-03-24 00:00:00.000 UTC,wallet_to_wallet,7317,9849932.869288707,19531507853.748375
2025-03-31 00:00:00.000 UTC,wallet_to_wallet,8541,11525950.18022138,20643627454.030273
2025-04-07 00:00:00.000 UTC,wallet_to_wallet,11220,16866133.933387578,26123429320.73159
2025-04-14 00:00:00.000 UTC,wallet_to_wallet,6050,10048228.432825934,16161366153.631683
2025-04-21 00:00:00.000 UTC,wallet_to_wallet,8726,18772783.462805104,32700824046.88629
2025-04-28 00:00:00.000 UTC,wallet_to_wallet,6658,9887589.92221804,17943876381.693993
2025-05-05 00:00:00.000 UTC,wallet_to_wallet,12625,15616115.920656208,33328001209.171932
2025-05-12 00:00:00.000 UTC,wallet_to_wallet,13126,16186762.697691012,41408037601.911514
2025-05-19 00:00:00.000 UTC,wallet_to_wallet,11880,16965341.167238478,43427198194.85044
2025-05-26 00:00:00.000 UTC,wallet_to_wallet,10921,13209141.97304386,34620130448.38273
2025-06-02 00:00:00.000 UTC,wallet_to_wallet,11433,15274228.950228706,39102045355.1305
2025-06-09 00:00:00.000 UTC,wallet_to_wallet,13502,17406784.602039777,46430198300.79925
2025-06-16 00:00:00.000 UTC,wallet_to_wallet,9853,13795086.340986138,34213945960.562244
2025-06-23 00:00:00.000 UTC,wallet_to_wallet,8073,12014779.81304837,28937745696.774887
2025-06-30 00:00:00.000 UTC,wallet_to_wallet,7875,9915365.561353896,24939317203.2646
2025-07-07 00:00:00.000 UTC,wallet_to_wallet,12849,19746777.410587296,55296899983.541794
2025-07-14 00:00:00.000 UTC,wallet_to_wallet,21124,26584325.036955144,89666753088.81795
2025-07-21 00:00:00.000 UTC,wallet_to_wallet,18412,25241899.570425753,93511247204.7714
2025-07-28 00:00:00.000 UTC,wallet_to_wallet,14983,17695938.578914173,65710809732.530365
2025-08-04 00:00:00.000 UTC,wallet_to_wallet,18302,21004072.2881452,80451413799.44691
2025-08-11 00:00:00.000 UTC,wallet_to_wallet,25383,29054583.52307383,131094151368.29752
2025-08-18 00:00:00.000 UTC,wallet_to_wallet,22541,26448958.548699476,118494859984.8748
2025-08-25 00:00:00.000 UTC,wallet_to_wallet,20230,22556161.376206707,101856158831.03851
2025-09-01 00:00:00.000 UTC,wallet_to_wallet,15461,16905977.83496107,73697831791.16988
2025-09-08 00:00:00.000 UTC,wallet_to_wallet,15632,14717491.645281548,65199893128.49642
2025-09-15 00:00:00.000 UTC,wallet_to_wallet,15005,16890020.05622066,76499029704.89345
2025-09-22 00:00:00.000 UTC,wallet_to_wallet,16657,20898370.05122021,85231131585.65283
2025-09-29 00:00:00.000 UTC,wallet_to_wallet,15341,16112832.062660072,69810166845.30565
2025-10-06 00:00:00.000 UTC,wallet_to_wallet,22444,24206981.8067082,104947860949.59673
2025-10-13 00:00:00.000 UTC,wallet_to_wallet,18233,18213356.97147911,72984528729.12677
2025-10-20 00:00:00.000 UTC,wallet_to_wallet,13118,14594495.51500106,57437515258.825264
2025-10-27 00:00:00.000 UTC,wallet_to_wallet,12879,14356252.265319496,56954886341.020874
2025-11-03 00:00:00.000 UTC,wallet_to_wallet,18959,20118928.282305885,68967133305.91415
2025-11-10 00:00:00.000 UTC,wallet_to_wallet,13693,17147244.195821818,57451489875.268234
2025-11-17 00:00:00.000 UTC,wallet_to_wallet,14922,23451302.74231258,68380002060.27759
2025-11-24 00:00:00.000 UTC,wallet_to_wallet,10113,12903950.885140749,38301527902.07099
2025-12-01 00:00:00.000 UTC,wallet_to_wallet,12393,17160068.91668984,51550806126.35723
2025-12-08 00:00:00.000 UTC,wallet_to_wallet,12189,13605045.82069592,43569153924.83002
2025-12-15 00:00:00.000 UTC,wallet_to_wallet,10275,14679307.287539816,43286557970.69661
2025-12-22 00:00:00.000 UTC,wallet_to_wallet,8630,12416952.015180252,36744075255.59693
2025-12-29 00:00:00.000 UTC,wallet_to_wallet,4740,6466293.297768763,19196967114.38322
